camp	lang	syst	human	bleu	bleu_lc	bleu_eff_order	bleu_eff_order_lc	macro_1gF1	macro_1gF1_lc	micro_1gF1	micro_1gF1_lc	macro_1gF_2gP	micro_1gF_2gP	macro_1gF_3gP	micro_1gF_3gP	macro_1gF_4gP	macro_1gF_4gP_lc	micro_1gF_4gP	micro_1gF_4gP_lc	macro_1gF_5gP	micro_1gF_5gP
wmt19	en-cs	CUNI-DocTransformer-T2T.6751	0.402	29.936	30.439	29.936	30.439	32.758	33.482	51.956	53.185	30.252	48.196	28.533	46.24	27.244	27.803	44.797	45.753	26.252	43.673
wmt19	en-cs	CUNI-Transformer-T2T-2018.6457	0.401	29.855	30.315	29.855	30.315	32.463	33.178	51.856	53.121	29.926	48.067	28.23	46.143	26.961	27.559	44.73	45.762	25.978	43.617
wmt19	en-cs	CUNI-Transformer-T2T-2019.6851	0.388	29.39	29.915	29.39	29.915	31.825	32.593	51.211	52.472	29.446	47.6	27.797	45.721	26.555	27.157	44.328	45.324	25.596	43.238
wmt19	en-cs	CUNI-DocTransformer-Marian.6922	0.223	28.144	28.611	28.144	28.611	30.498	31.172	49.945	51.16	28.101	46.265	26.503	44.419	25.323	25.857	43.08	44.055	24.416	42.042
wmt19	en-cs	uedin.6667	0.206	27.89	28.348	27.89	28.348	31.545	32.203	50.687	51.929	28.988	47.024	27.295	45.183	26.047	26.593	43.832	44.839	25.102	42.787
wmt19	en-cs	online-Y.0	-0.156	23.529	23.944	23.529	23.944	26.954	27.697	46.276	47.526	24.617	42.851	23.151	41.276	22.1	22.712	40.14	41.15	21.321	39.28
wmt19	en-cs	TartuNLP-c.6633	-0.195	22.816	23.434	22.816	23.434	26.169	27.005	45.618	47.026	23.952	42.31	22.548	40.705	21.529	22.261	39.553	40.747	20.764	38.679
wmt19	en-cs	online-G.0	-0.3	20.077	20.901	20.077	20.901	23.588	24.796	42.702	44.383	21.621	39.771	20.39	38.419	19.524	20.515	37.486	38.805	18.884	36.789
wmt19	en-cs	online-B.0	-0.336	21.755	22.169	21.755	22.169	25.285	25.914	44.423	45.6	23.143	41.367	21.772	39.925	20.804	21.337	38.909	39.908	20.091	38.147
wmt19	en-cs	online-A.0	-0.594	18.112	18.764	18.112	18.764	21.194	22.047	40.414	41.888	19.323	37.616	18.206	36.395	17.434	18.18	35.57	36.819	16.88	34.969
wmt19	en-cs	online-X.0	-0.651	15.012	17.8	15.012	17.8	17.754	22.489	37.523	42.046	16.262	34.733	15.372	33.533	14.764	18.218	32.735	35.933	14.324	32.161
wmt19	en-gu	online-B.0	0.663	61.518	61.518	61.518	61.518	60.784	60.784	73.96	73.96	57.81	69.713	55.737	67.198	54.066	54.066	65.256	65.256	52.668	63.653
wmt19	en-gu	GTCOM-Primary.6970	0.597	28.221	28.231	28.221	28.231	30.007	30.023	50.293	50.301	26.999	45.569	25.192	43.194	23.94	23.954	41.576	41.586	23.009	40.38
wmt19	en-gu	MSRA.CrossBERT.6991	0.318	16.542	16.542	16.542	16.542	17.555	17.555	37.855	37.855	15.665	35.368	14.662	33.985	14.028	14.028	33.05	33.05	13.599	32.407
wmt19	en-gu	UEDIN.6849	0.305	16.369	16.369	16.369	16.369	18.991	18.991	39.034	39.034	16.929	35.925	15.813	34.392	15.078	15.078	33.375	33.375	14.573	32.667
wmt19	en-gu	CUNI-T2T-transfer-engu.6466	0.254	14.263	14.263	14.263	14.263	19.955	19.955	37.813	37.813	17.951	36.379	16.876	35.773	16.182	16.182	35.351	35.351	15.722	35.053
wmt19	en-gu	Ju_Saarland_clean_num_135_bpe.6617	-0.079	21.85	21.85	21.85	21.85	19.349	19.384	41.727	41.75	17.647	38.228	16.651	36.66	15.969	15.999	35.639	35.658	15.483	34.91
wmt19	en-gu	IITP-MT.6827	-0.458	8.141	8.141	8.141	8.141	10.102	10.114	28.298	28.308	9.254	26.601	8.875	26.284	8.656	8.666	26.149	26.158	8.512	26.051
wmt19	en-gu	NICT.6604	-0.465	10.469	10.469	10.469	10.469	11.363	11.363	30.012	30.012	10.502	28.634	10.043	28.195	9.753	9.753	27.912	27.912	9.559	27.717
wmt19	en-gu	online-G.0	-0.49	8.953	8.953	8.953	8.953	17.7	17.713	36.143	36.15	14.781	30.844	13.587	29.361	12.936	12.943	28.653	28.655	12.524	28.213
wmt19	en-gu	online-X.0	-0.502	10.855	10.879	10.855	10.879	11.267	11.413	28.273	28.367	10.552	27.388	10.183	27.164	9.953	10.066	26.995	27.075	9.792	26.846
wmt19	en-gu	UdS-DFKI.6866	-0.718	6.922	6.922	6.922	6.922	10.978	10.981	27.051	27.053	9.628	25.07	9.109	24.703	8.843	8.845	24.592	24.594	8.688	24.53
wmt19	en-lt	tilde-nc-nmt.6696	0.388	18.994	19.545	18.994	19.545	23.495	24.346	40.744	42.081	21.093	37.295	19.667	35.703	18.695	19.349	34.606	35.702	18.009	33.814
wmt19	en-lt	MSRA.MASS.6954	0.387	20.079	20.478	20.079	20.478	23.258	23.741	40.866	41.914	20.832	37.179	19.479	35.466	18.545	18.867	34.286	35.044	17.874	33.42
wmt19	en-lt	tilde-c-nmt.6695	0.262	18.59	19.137	18.59	19.137	22.977	23.699	40.305	41.549	20.486	36.62	19.069	34.953	18.122	18.687	33.849	34.87	17.445	33.043
wmt19	en-lt	MSRA.MASS.6931	0.259	19.076	19.517	19.076	19.517	22.346	22.945	39.911	41.092	20.013	36.383	18.7	34.784	17.808	18.246	33.699	34.599	17.17	32.9
wmt19	en-lt	GTCOM-Primary.7001	0.155	18.11	18.566	18.11	18.566	22.397	22.952	39.841	40.953	19.959	36.104	18.589	34.221	17.663	18.097	32.956	33.832	17.007	32.044
wmt19	en-lt	eTranslation.6836	0.036	16.539	16.974	16.539	16.974	20.596	21.265	37.743	38.989	18.442	34.366	17.228	32.925	16.417	16.957	31.989	32.994	15.85	31.323
wmt19	en-lt	NEU.6760	-0.054	16.949	17.409	16.949	17.409	20.392	20.943	37.922	39.08	18.188	34.227	16.964	32.553	16.144	16.547	31.444	32.31	15.565	30.646
wmt19	en-lt	online-B.0	-0.061	14.983	15.683	14.983	15.683	17.777	18.359	34.97	36.208	15.923	31.687	14.888	30.29	14.195	14.665	29.364	30.376	13.712	28.711
