expt	Translation	BLEU	MacroF1	MicroF1	ChrF1	BLEURTMean	BLEURTMedian	mAQWV	MAP	N_rel	P_miss_rel	P_fa
2B-ANALYSIS-QUERY1	cnn-build	20.8	15.8	51.1	0.461	-0.388	-0.410	0.278	0.352	206	0.638444	0.002096
2B-ANALYSIS-QUERY1	cnn-buildpc	28	31.2	60.9	0.537	-0.002	0.052	0.547	0.586	206	0.370754	0.002068
2B-ANALYSIS-QUERY1	cnn-buildpc-tuned	30.1	32.3	62.3	0.55	0.028	0.087	0.529	0.577	206	0.375601	0.002373
2B-ANALYSIS-QUERY1	combo-20190813	33	35.2	65.4	0.588	0.138	0.196	0.605	0.645	206	0.309443	0.002133
2B-ANALYSIS-QUERY1	combo-20191027	32.5	34.6	65.1	0.58	0.127	0.187	0.619	0.643	206	0.295581	0.002139
2B-ANALYSIS-QUERY1	ggl	30.5	38.8	64.1	0.582	0.183	0.239	0.441	0.508	206	0.484867	0.001856
2B-ANALYSIS-QUERY1	rtg028-gelu	30	36.6	63.7	0.585	0.073	0.131	0.574	0.612	206	0.339844	0.00215
2B-ANALYSIS-QUERY1	rtg031	31.4	31.8	63.5	0.592	0.017	0.087	0.488	0.540	206	0.417961	0.002357
2B-ANALYSIS-QUERY1	sbmt	22.2	16.5	55.6	0.496	-0.551	-0.656	0.360	0.445	206	0.555421	0.002117
2B-ANALYSIS-QUERY1	sbmtpc	24.2	27	59.5	0.529	-0.305	-0.331	0.617	0.651	206	0.298451	0.002123
2B-ANALYSIS-QUERY1	t2t8k-build	20.9	18.4	53.9	0.504	-0.395	-0.408	0.275	0.365	206	0.636664	0.00221
2B-ANALYSIS-QUERY1	t2t8k-buildpc	30.6	36.8	64	0.587	0.085	0.146	0.568	0.606	206	0.346344	0.002133
2B-ANALYSIS-QUERY1	t2t8k-buildpc-bt3M	29.7	35.1	63.5	0.578	0.045	0.109	0.559	0.593	206	0.34711	0.002335
2B-ANALYSIS-QUERY1	t2t8k-buildpcbt-tunebuildpc	32.6	39.4	65.6	0.601	0.157	0.221	0.613	0.656	206	0.301044	0.002144
2B-DEVANALYSIS-QUERY1	cnn-build	20.8	15.8	51.1	0.461	-0.388	-0.410	0.314	0.347	274	0.595405	0.002264
2B-DEVANALYSIS-QUERY1	cnn-buildpc	28	31.2	60.9	0.537	-0.002	0.052	0.557	0.562	274	0.353977	0.002216
2B-DEVANALYSIS-QUERY1	cnn-buildpc-tuned	30.1	32.3	62.3	0.55	0.028	0.087	0.565	0.560	274	0.339585	0.002391
2B-DEVANALYSIS-QUERY1	combo-20190813	33	35.2	65.4	0.588	0.138	0.196	0.615	0.603	274	0.29508	0.002254
2B-DEVANALYSIS-QUERY1	combo-20191027	32.5	34.6	65.1	0.58	0.127	0.187	0.315	0.335	274	0.616891	0.001695
2B-DEVANALYSIS-QUERY1	rtg028-gelu	30	36.6	63.7	0.585	0.073	0.131	0.599	0.591	274	0.308749	0.002314
2B-DEVANALYSIS-QUERY1	rtg031	31.4	31.8	63.5	0.592	0.017	0.087	0.494	0.498	274	0.403978	0.002551
