		Pearson r;   mAQWV | MAP ; * is not significant at alpha=0.05					
Experiment	Testset	BLEU	MacroF1	MicroF1	ChrF1	BLEURTMean	BLEURTMedian
2B-ANALYSIS-QUERY1	Medium	0.782 | 0.784	0.799 | 0.801	0.853 | 0.861	0.762 | 0.771	0.709 | 0.703	0.697 | 0.689
2B-DEVANALYSIS-QUERY1	Large	0.481* | 0.447*	0.667 | 0.639	0.589* | 0.559*	0.579* | 0.552*	0.519* | 0.484*	0.514* | 0.479*
2C-ANALYSIS-QUERY1	Medium	0.761 | 0.739	0.746 | 0.734	0.746 | 0.713	0.799 | 0.757	0.693 | 0.686	0.685 | 0.683
2C-DEVANALYSIS-QUERY1	Large	0.830 | 0.778	0.831 | 0.793	0.845 | 0.803	0.799 | 0.731	0.724 | 0.670	0.710 | 0.654
2S-ANALYSIS-QUERY1	Medium	0.749 | 0.733	0.939 | 0.948	0.788 | 0.774	0.808 | 0.819	0.811 | 0.817	0.792 | 0.800
2S-DEVANALYSIS-QUERY1	Large	0.398* | 0.361*	0.673 | 0.649	0.495* | 0.461*	0.574* | 0.551*	0.545* | 0.523*	0.533* | 0.511*
							
		Kendall tau;  mAQWV | MAP; * is not significant at alpha=0.05					
Experiment		BLEU	MacroF1	MicroF1	ChrF1	BLEURTMean	BLEURTMedian
2B-ANALYSIS-QUERY1	Medium	0.429 | 0.495	0.363* | 0.429	0.508 | 0.575	0.385* | 0.451	0.451 | 0.473	0.420 | 0.486
2B-DEVANALYSIS-QUERY1	Large	0.345* | 0.273*	0.527 | 0.455*	0.491 | 0.418*	0.491 | 0.418*	0.491 | 0.418*	0.477 | 0.404*
2C-ANALYSIS-QUERY1	Medium	0.559 | 0.493	0.653 | 0.632	0.574 | 0.487	0.581 | 0.494	0.584 | 0.558	0.581 | 0.554
2C-DEVANALYSIS-QUERY1	Large	0.589 | 0.519	0.682 | 0.637	0.593 | 0.523	0.583 | 0.482	0.581 | 0.536	0.571 | 0.526
2S-ANALYSIS-QUERY1	Medium	0.455* | 0.491	0.550 | 0.661	0.527 | 0.564	0.382* | 0.491	0.418* | 0.527	0.418* | 0.527
2S-DEVANALYSIS-QUERY1	Large	0.257* | 0.183*	0.500 | 0.426*	0.330* | 0.257*	0.404* | 0.330*	0.367* | 0.294*	0.367* | 0.294*
