	Experiment	Correlation	IR	BLEU	MacroF1	MicroF1	ChrF1	BLEURTMean	BLEURTMedian
0	2B-ANALYSIS-QUERY1	pearson	mAQWV	0.782|0.001	0.799|0.001	0.853|0.000	0.762|0.002	0.709|0.005	0.697|0.006
1	2B-ANALYSIS-QUERY1	pearson	MAP	0.784|0.001	0.801|0.001	0.861|0.000	0.771|0.001	0.703|0.005	0.689|0.006
2	2B-ANALYSIS-QUERY1	kendall	mAQWV	0.429|0.036	0.363|0.079	0.508|0.012	0.385|0.062	0.451|0.026	0.420|0.037
3	2B-ANALYSIS-QUERY1	kendall	MAP	0.495|0.014	0.429|0.036	0.575|0.004	0.451|0.026	0.473|0.019	0.486|0.016
4	2B-DEV-QUERY1	pearson	mAQWV	0.854|0.002	0.948|0.000	0.920|0.000	0.848|0.002	0.875|0.001	0.860|0.001
5	2B-DEV-QUERY1	pearson	MAP	0.841|0.002	0.955|0.000	0.914|0.000	0.851|0.002	0.871|0.001	0.855|0.002
6	2B-DEV-QUERY1	kendall	mAQWV	0.600|0.017	0.733|0.002	0.778|0.001	0.644|0.009	0.778|0.001	0.764|0.002
7	2B-DEV-QUERY1	kendall	MAP	0.600|0.017	0.822|0.000	0.778|0.001	0.644|0.009	0.778|0.001	0.764|0.002
8	2B-DEVANALYSIS-QUERY1	pearson	mAQWV	0.481|0.134	0.667|0.025	0.589|0.057	0.579|0.062	0.519|0.102	0.514|0.106
9	2B-DEVANALYSIS-QUERY1	pearson	MAP	0.447|0.168	0.639|0.034	0.559|0.074	0.552|0.078	0.484|0.132	0.479|0.136
10	2B-DEVANALYSIS-QUERY1	kendall	mAQWV	0.345|0.165	0.527|0.026	0.491|0.041	0.491|0.041	0.491|0.041	0.477|0.042
11	2B-DEVANALYSIS-QUERY1	kendall	MAP	0.273|0.283	0.455|0.060	0.418|0.087	0.418|0.087	0.418|0.087	0.404|0.086
12	2C-ANALYSIS-QUERY1	pearson	mAQWV	0.761|0.000	0.746|0.000	0.746|0.000	0.799|0.000	0.693|0.000	0.685|0.000
13	2C-ANALYSIS-QUERY1	pearson	MAP	0.739|0.000	0.734|0.000	0.713|0.000	0.757|0.000	0.686|0.000	0.683|0.000
14	2C-ANALYSIS-QUERY1	kendall	mAQWV	0.559|0.000	0.653|0.000	0.574|0.000	0.581|0.000	0.584|0.000	0.581|0.000
15	2C-ANALYSIS-QUERY1	kendall	MAP	0.493|0.000	0.632|0.000	0.487|0.000	0.494|0.000	0.558|0.000	0.554|0.000
16	2C-DEV-QUERY1	pearson	mAQWV	0.801|0.000	0.818|0.000	0.812|0.000	0.741|0.000	0.699|0.000	0.681|0.000
17	2C-DEV-QUERY1	pearson	MAP	0.794|0.000	0.820|0.000	0.811|0.000	0.720|0.000	0.689|0.000	0.671|0.000
18	2C-DEV-QUERY1	kendall	mAQWV	0.556|0.000	0.637|0.000	0.560|0.000	0.501|0.000	0.573|0.000	0.575|0.000
19	2C-DEV-QUERY1	kendall	MAP	0.583|0.000	0.688|0.000	0.587|0.000	0.478|0.001	0.600|0.000	0.590|0.000
20	2C-DEVANALYSIS-QUERY1	pearson	mAQWV	0.830|0.000	0.831|0.000	0.845|0.000	0.799|0.000	0.724|0.000	0.710|0.000
21	2C-DEVANALYSIS-QUERY1	pearson	MAP	0.778|0.000	0.793|0.000	0.803|0.000	0.731|0.000	0.670|0.000	0.654|0.000
22	2C-DEVANALYSIS-QUERY1	kendall	mAQWV	0.589|0.000	0.682|0.000	0.593|0.000	0.583|0.000	0.581|0.000	0.571|0.000
23	2C-DEVANALYSIS-QUERY1	kendall	MAP	0.519|0.000	0.637|0.000	0.523|0.000	0.482|0.001	0.536|0.000	0.526|0.000
24	2S-ANALYSIS-QUERY1	pearson	mAQWV	0.749|0.008	0.939|0.000	0.788|0.004	0.808|0.003	0.811|0.002	0.792|0.004
25	2S-ANALYSIS-QUERY1	pearson	MAP	0.733|0.010	0.948|0.000	0.774|0.005	0.819|0.002	0.817|0.002	0.800|0.003
26	2S-ANALYSIS-QUERY1	kendall	mAQWV	0.455|0.060	0.550|0.019	0.527|0.026	0.382|0.121	0.418|0.087	0.418|0.087
27	2S-ANALYSIS-QUERY1	kendall	MAP	0.491|0.041	0.661|0.005	0.564|0.017	0.491|0.041	0.527|0.026	0.527|0.026
28	2S-DEV-QUERY1	pearson	mAQWV	0.788|0.007	0.885|0.001	0.824|0.003	0.759|0.011	0.721|0.019	0.700|0.024
29	2S-DEV-QUERY1	pearson	MAP	0.765|0.010	0.903|0.000	0.799|0.006	0.760|0.011	0.755|0.012	0.732|0.016
30	2S-DEV-QUERY1	kendall	mAQWV	0.556|0.029	0.405|0.106	0.644|0.009	0.511|0.047	0.511|0.047	0.511|0.047
31	2S-DEV-QUERY1	kendall	MAP	0.432|0.087	0.368|0.148	0.432|0.087	0.296|0.241	0.296|0.241	0.296|0.241
32	2S-DEVANALYSIS-QUERY1	pearson	mAQWV	0.398|0.226	0.673|0.023	0.495|0.122	0.574|0.065	0.545|0.083	0.533|0.092
33	2S-DEVANALYSIS-QUERY1	pearson	MAP	0.361|0.276	0.649|0.031	0.461|0.154	0.551|0.079	0.523|0.099	0.511|0.108
34	2S-DEVANALYSIS-QUERY1	kendall	mAQWV	0.257|0.274	0.500|0.034	0.330|0.160	0.404|0.086	0.367|0.118	0.367|0.118
35	2S-DEVANALYSIS-QUERY1	kendall	MAP	0.183|0.435	0.426|0.072	0.257|0.274	0.330|0.160	0.294|0.212	0.294|0.212
