				Wiki Neural						Wiki BM25						Europarl BM25							TG's calculations								Constantine's calculations																			
lang	size	bpe.tokens	map	map.gm	p.5	p.10	r.10	rbo	ndcg	map.gm3	p.52	p.105	r.106	rbo7	ndcg8	map.gm2	p.53	p.104	r.105	rbo6	ndcg7	Column1	bleu	chrf2	macrof	microf	macrobleu	microbleu	chrf1	chrf3	bleu.lower	bleu.lower.stem	bleu.lower.depunc	bleu.lower.stem.depunc	prec1.lower	prec1.lower.stem	prec1.lower.depunc	prec1.lower.stem.depunc	prec2.lower	prec2.lower.stem	prec2.lower.depunc	prec2.lower.stem.depunc	prec3.lower	prec3.lower.stem	prec3.lower.depunc	prec3.lower.stem.depunc	prec4.lower	prec4.lower.stem	prec4.lower.depunc	prec4.lower.stem.depunc
cs	25000	16000	0.2536	3.00E-04	0.012	0.0091	0.0906	0.061451959	0.1085	0.0252	0.1016	0.0558	0.5576	0.218482731	0.4994	0.1597	0.6152	0.5966	0.0625	0.316367762	0.4288		18.2	0.45	14.6	43.5	14.6	42.6	0.462	0.449	18.7	19.8	16.7	17.9	51.5	53.4	48.5	50.7	24.3	25.6	22.8	24.2	13.3	14.1	11.9	12.8	7.4	8	6.3	6.9
cs	50000	16000	0.3373	7.00E-04	0.0176	0.0127	0.1268	0.083939559	0.1397	0.0899	0.1326	0.0702	0.7021	0.302602361	0.6403	0.2299	0.669	0.6607	0.0693	0.394681212	0.5096		23.3	0.51	21.7	49.8	20	46.1	0.518	0.508	23.9	25.2	21.9	23.3	57.5	59.5	54.9	57.3	30.3	31.9	28.8	30.5	18	19.1	16.6	17.7	11	11.8	9.7	10.6
cs	75000	16000	0.3568	8.00E-04	0.0199	0.0144	0.144	0.091990718	0.1504	0.1093	0.1378	0.0733	0.7332	0.327114739	0.6677	0.2479	0.6993	0.6862	0.0725	0.415811216	0.5269		25.2	0.53	23.9	51.5	21.6	47.1	0.534	0.526	25.8	27.1	23.8	25.1	58.7	60.7	56.1	58.4	32	33.5	30.5	32.1	19.5	20.6	18	19.1	12.2	13	10.9	11.7
cs	100000	16000	0.3762	0.0011	0.0231	0.0158	0.1584	0.097837441	0.1643	0.1362	0.1436	0.0757	0.7565	0.33992833	0.6922	0.272	0.7448	0.7097	0.0765	0.433155928	0.5481		26.7	0.54	25.8	53	23.2	48.2	0.549	0.54	27.4	28.7	25.4	26.8	60.4	62.3	57.8	60.2	33.9	35.4	32.4	34	21.3	22.3	19.7	20.8	13.6	14.4	12.3	13.2
cs	125000	16000	0.3914	0.0012	0.023	0.0164	0.1638	0.103805073	0.1699	0.1611	0.1479	0.0773	0.7729	0.356062825	0.7137	0.2916	0.7572	0.7324	0.0809	0.456725154	0.5633		28.1	0.55	27.7	54.4	24.6	49.2	0.561	0.552	28.7	30	26.7	28.1	61.9	63.9	59.4	61.7	35.5	37.1	34.1	35.7	22.7	23.8	21.2	22.3	14.8	15.7	13.4	14.3
cs	150000	16000	0.3947	0.0014	0.025	0.0172	0.1716	0.111574105	0.1762	0.1662	0.1496	0.0784	0.7841	0.359416297	0.7207	0.2825	0.7628	0.7276	0.0805	0.453071463	0.5647		28.7	0.56	28.5	55.2	25.1	49.7	0.566	0.558	29.4	30.7	27.4	28.8	62.1	64	59.7	62	36	37.5	34.6	36.1	23	24.2	21.5	22.7	15	15.9	13.7	14.6
cs	175000	16000	0.4054	0.0016	0.0254	0.0181	0.1808	0.116301084	0.1789	0.2056	0.1543	0.0808	0.8082	0.374852362	0.7433	0.2977	0.7586	0.7297	0.0801	0.467044913	0.5725		30.3	0.57	30.2	56.7	26.6	50.8	0.579	0.57	31	32.4	29.1	30.6	63.6	65.6	61.3	63.6	37.8	39.4	36.3	38	24.8	26	23.2	24.5	16.6	17.5	15.2	16.2
cs	200000	16000	0.4109	0.0017	0.0252	0.0174	0.1738	0.114481512	0.181	0.1944	0.1527	0.08	0.8004	0.373980205	0.7368	0.2885	0.7658	0.737	0.0817	0.477102933	0.5775		30	0.57	29.8	56.2	26.2	50.4	0.575	0.568	30.7	32	28.7	30.1	63	65	60.7	63	37.2	38.8	35.7	37.4	24.2	25.4	22.6	23.9	16.1	17	14.6	15.6
cs	25000	32000	0.24	1.00E-04	0.0074	0.0053	0.053	0.041989032	0.0703	0.005	0.0679	0.0392	0.3918	0.140745097	0.3469	0.1298	0.56	0.5552	0.0593	0.30594889	0.4102		17.1	0.43	12.7	41.7	13.4	41.7	0.441	0.426	17.5	18.4	15.6	16.4	50	51.5	46.7	48.4	22.9	24	21.3	22.4	12.2	12.9	10.8	11.5	6.7	7.2	5.7	6.1
