	Group	IR	BLEU	CHRF1	MacroF1	MicroF1	BLEURTMean	BLEURTMedian
0	cs europarl bm25	MAP	0.950	0.950	0.933	0.950	0.900	0.933
1	cs europarl bm25	P10	0.812	0.812	0.795	0.812	0.762	0.795
2	cs europarl bm25	R10	0.650	0.650	0.633	0.650	0.600	0.633
3	cs europarl bm25	RBO	0.850	0.850	0.867	0.850	0.900	0.867
4	cs europarl bm25	NDCG	0.950	0.950	0.933	0.950	0.900	0.933
5	cs wiki bm25	MAP	0.683	0.683	0.667	0.683	0.633	0.667
6	cs wiki bm25	P10	0.756	0.756	0.740	0.756	0.706	0.740
7	cs wiki bm25	R10	0.733	0.733	0.717	0.733	0.683	0.717
8	cs wiki bm25	RBO	0.683	0.683	0.667	0.683	0.633	0.667
9	cs wiki bm25	NDCG	0.700	0.700	0.683	0.700	0.650	0.683
10	cs wiki neural	MAP	0.633	0.633	0.617	0.633	0.583	0.617
11	cs wiki neural	P10	0.717	0.717	0.700	0.717	0.667	0.700
12	cs wiki neural	R10	0.717	0.717	0.700	0.717	0.667	0.700
13	cs wiki neural	RBO	0.800	0.800	0.783	0.800	0.750	0.783
14	cs wiki neural	NDCG	0.683	0.683	0.667	0.683	0.633	0.667
15	de europarl bm25	MAP	0.862	0.874	0.895	0.862	0.912	0.895
16	de europarl bm25	P10	0.795	0.807	0.795	0.795	0.812	0.795
17	de europarl bm25	R10	0.800	0.812	0.833	0.800	0.817	0.800
18	de europarl bm25	RBO	0.900	0.912	0.900	0.900	0.917	0.900
19	de europarl bm25	NDCG	0.883	0.895	0.917	0.883	0.933	0.917
20	de wiki bm25	MAP	0.750	0.745	0.717	0.750	0.700	0.717
21	de wiki bm25	P10	0.762	0.756	0.728	0.762	0.711	0.728
22	de wiki bm25	R10	0.750	0.745	0.717	0.750	0.700	0.717
23	de wiki bm25	RBO	0.750	0.745	0.717	0.750	0.700	0.717
24	de wiki bm25	NDCG	0.750	0.745	0.717	0.750	0.700	0.717
25	de wiki neural	MAP	0.700	0.711	0.667	0.700	0.683	0.700
26	de wiki neural	P10	0.667	0.661	0.599	0.667	0.616	0.633
27	de wiki neural	R10	0.667	0.661	0.600	0.667	0.617	0.633
28	de wiki neural	RBO	0.767	0.762	0.700	0.767	0.717	0.733
29	de wiki neural	NDCG	0.683	0.678	0.617	0.683	0.633	0.650
