Lang	Dataset	Model	BPEsize	TrainSize	MAP	MAP.gm	P5	P10	R10	RBO	NDCG	BLEU	CHRF1	MacroF1	MicroF1	BLEURTMean	BLEURTMedian
cs	europarl	bm25	16000	25000	0.2536	0.1597	0.6152	0.5966	0.0625	0.316367762	0.4288	17.26	0.458	13.79	42.54	-0.233231	-0.19935
cs	europarl	bm25	16000	50000	0.3373	0.2299	0.669	0.6607	0.0693	0.394681212	0.5096	22.32	0.514	20.45	48.66	-0.060558	-0.018857
cs	europarl	bm25	16000	75000	0.3568	0.2479	0.6993	0.6862	0.0725	0.415811216	0.5269	23.88	0.529	22.48	50.26	-0.017226	0.032206
cs	europarl	bm25	16000	100000	0.3762	0.272	0.7448	0.7097	0.0765	0.433155928	0.5481	25.56	0.544	24.18	51.72	0.018455	0.068034
cs	europarl	bm25	16000	125000	0.3914	0.2916	0.7572	0.7324	0.0809	0.456725154	0.5633	26.88	0.556	25.93	53.13	0.059481	0.106634
cs	europarl	bm25	16000	150000	0.3947	0.2825	0.7628	0.7276	0.0805	0.453071463	0.5647	27.28	0.56	26.66	53.59	0.070955	0.127713
cs	europarl	bm25	16000	175000	0.4054	0.2977	0.7586	0.7297	0.0801	0.467044913	0.5725	28.78	0.573	28.28	54.97	0.107968	0.160123
cs	europarl	bm25	16000	200000	0.4109	0.2885	0.7658	0.737	0.0817	0.477102933	0.5775	28.47	0.57	27.82	54.53	0.097593	0.151792
cs	europarl	bm25	32000	25000	0.24	0.1298	0.56	0.5552	0.0593	0.30594889	0.4102	16.14	0.438	11.98	40.94	-0.30412	-0.281502
cs	europarl	bm25	32000	50000	0.3321	0.2354	0.6883	0.6607	0.0691	0.406489019	0.5086	21.97	0.51	19.92	48.19	-0.062027	-0.021627
cs	europarl	bm25	32000	75000	0.3774	0.2806	0.7255	0.7041	0.075	0.444340143	0.5517	24.58	0.537	23.57	51.18	0.017729	0.063235
cs	europarl	bm25	32000	100000	0.3891	0.2781	0.7301	0.6973	0.0746	0.460419331	0.5617	26.52	0.555	25.8	53.05	0.071109	0.113031
cs	europarl	bm25	32000	125000	0.404	0.287	0.7534	0.7308	0.0779	0.47610368	0.5724	27.43	0.562	26.94	53.87	0.091188	0.13753
cs	europarl	bm25	32000	150000	0.4069	0.2731	0.7429	0.7204	0.0775	0.482210317	0.5738	28.08	0.568	27.89	54.43	0.099096	0.145362
cs	europarl	bm25	32000	175000	0.4204	0.3227	0.7766	0.7421	0.0798	0.490804098	0.5892	28.82	0.574	28.84	55.2	0.122407	0.174303
cs	europarl	bm25	32000	200000	0.4245	0.313	0.7712	0.7384	0.0778	0.498437454	0.5928	29.23	0.577	29.18	55.45	0.127709	0.182215
cs	wiki	bm25	16000	25000	0.4342	0.0252	0.1016	0.0558	0.5576	0.218482731	0.4994	17.26	0.458	13.79	42.54	-0.233231	-0.19935
cs	wiki	bm25	16000	50000	0.585	0.0899	0.1326	0.0702	0.7021	0.302602361	0.6403	22.32	0.514	20.45	48.66	-0.060558	-0.018857
cs	wiki	bm25	16000	75000	0.6161	0.1093	0.1378	0.0733	0.7332	0.327114739	0.6677	23.88	0.529	22.48	50.26	-0.017226	0.032206
cs	wiki	bm25	16000	100000	0.6423	0.1362	0.1436	0.0757	0.7565	0.33992833	0.6922	25.56	0.544	24.18	51.72	0.018455	0.068034
cs	wiki	bm25	16000	125000	0.6664	0.1611	0.1479	0.0773	0.7729	0.356062825	0.7137	26.88	0.556	25.93	53.13	0.059481	0.106634
cs	wiki	bm25	16000	150000	0.6747	0.1662	0.1496	0.0784	0.7841	0.359416297	0.7207	27.28	0.56	26.66	53.59	0.070955	0.127713
cs	wiki	bm25	16000	175000	0.6988	0.2056	0.1543	0.0808	0.8082	0.374852362	0.7433	28.78	0.573	28.28	54.97	0.107968	0.160123
cs	wiki	bm25	16000	200000	0.6917	0.1944	0.1527	0.08	0.8004	0.373980205	0.7368	28.47	0.57	27.82	54.53	0.097593	0.151792
cs	wiki	bm25	32000	25000	0.2781	0.005	0.0679	0.0392	0.3918	0.140745097	0.3469	16.14	0.438	11.98	40.94	-0.30412	-0.281502
cs	wiki	bm25	32000	50000	0.4976	0.0454	0.1147	0.0629	0.6288	0.247348485	0.56	21.97	0.51	19.92	48.19	-0.062027	-0.021627
cs	wiki	bm25	32000	75000	0.5727	0.0842	0.1301	0.0698	0.6975	0.294061445	0.6297	24.58	0.537	23.57	51.18	0.017729	0.063235
cs	wiki	bm25	32000	100000	0.6125	0.1125	0.1374	0.0733	0.7328	0.313930901	0.6657	26.52	0.555	25.8	53.05	0.071109	0.113031
cs	wiki	bm25	32000	125000	0.6341	0.1315	0.1411	0.0749	0.7492	0.333256323	0.6852	27.43	0.562	26.94	53.87	0.091188	0.13753
cs	wiki	bm25	32000	150000	0.6421	0.1379	0.1434	0.0761	0.7612	0.338210918	0.6924	28.08	0.568	27.89	54.43	0.099096	0.145362
cs	wiki	bm25	32000	175000	0.6614	0.167	0.147	0.0776	0.7764	0.350454296	0.7109	28.82	0.574	28.84	55.2	0.122407	0.174303
cs	wiki	bm25	32000	200000	0.6608	0.1602	0.1474	0.0776	0.7756	0.348966115	0.7095	29.23	0.577	29.18	55.45	0.127709	0.182215
cs	wiki	neural	16000	25000	0.0454	3.00E-04	0.012	0.0091	0.0906	0.061451959	0.1085	17.26	0.458	13.79	42.54	-0.233231	-0.19935
cs	wiki	neural	16000	50000	0.0626	7.00E-04	0.0176	0.0127	0.1268	0.083939559	0.1397	22.32	0.514	20.45	48.66	-0.060558	-0.018857
cs	wiki	neural	16000	75000	0.072	8.00E-04	0.0199	0.0144	0.144	0.091990718	0.1504	23.88	0.529	22.48	50.26	-0.017226	0.032206
cs	wiki	neural	16000	100000	0.0828	0.0011	0.0231	0.0158	0.1584	0.097837441	0.1643	25.56	0.544	24.18	51.72	0.018455	0.068034
cs	wiki	neural	16000	125000	0.0856	0.0012	0.023	0.0164	0.1638	0.103805073	0.1699	26.88	0.556	25.93	53.13	0.059481	0.106634
cs	wiki	neural	16000	150000	0.0909	0.0014	0.025	0.0172	0.1716	0.111574105	0.1762	27.28	0.56	26.66	53.59	0.070955	0.127713
cs	wiki	neural	16000	175000	0.0899	0.0016	0.0254	0.0181	0.1808	0.116301084	0.1789	28.78	0.573	28.28	54.97	0.107968	0.160123
cs	wiki	neural	16000	200000	0.0908	0.0017	0.0252	0.0174	0.1738	0.114481512	0.181	28.47	0.57	27.82	54.53	0.097593	0.151792
cs	wiki	neural	32000	25000	0.0275	1.00E-04	0.0074	0.0053	0.053	0.041989032	0.0703	16.14	0.438	11.98	40.94	-0.30412	-0.281502
cs	wiki	neural	32000	50000	0.0558	4.00E-04	0.0146	0.0105	0.1046	0.070629881	0.1219	21.97	0.51	19.92	48.19	-0.062027	-0.021627
cs	wiki	neural	32000	75000	0.069	6.00E-04	0.019	0.0133	0.1332	0.086047659	0.1423	24.58	0.537	23.57	51.18	0.017729	0.063235
cs	wiki	neural	32000	100000	0.0691	8.00E-04	0.0191	0.0137	0.1374	0.093147754	0.1465	26.52	0.555	25.8	53.05	0.071109	0.113031
cs	wiki	neural	32000	125000	0.0779	0.001	0.0218	0.0151	0.1512	0.09919001	0.1587	27.43	0.562	26.94	53.87	0.091188	0.13753
cs	wiki	neural	32000	150000	0.0794	0.001	0.0219	0.0152	0.152	0.100973648	0.1605	28.08	0.568	27.89	54.43	0.099096	0.145362
cs	wiki	neural	32000	175000	0.0834	0.0012	0.023	0.0165	0.1646	0.106775154	0.1668	28.82	0.574	28.84	55.2	0.122407	0.174303
cs	wiki	neural	32000	200000	0.0817	0.0012	0.0231	0.0159	0.1588	0.111554795	0.1666	29.23	0.577	29.18	55.45	0.127709	0.182215
de	europarl	bm25	16000	25000	0.2729	0.1833	0.6479	0.6048	0.0649	0.337021607	0.4502	18.35	0.461	14.81	43.31	-0.207589	-0.178182
de	europarl	bm25	16000	50000	0.3501	0.254	0.726	0.6952	0.0755	0.416209105	0.5238	23	0.514	21.24	48.88	-0.04658	-0.01193
de	europarl	bm25	16000	75000	0.3791	0.2878	0.7517	0.7262	0.0782	0.438361633	0.5515	24.79	0.53	23.76	50.83	0.003726	0.037691
de	europarl	bm25	16000	100000	0.3988	0.2973	0.763	0.7356	0.0796	0.469834047	0.5702	26.66	0.546	25.85	52.53	0.051681	0.091223
de	europarl	bm25	16000	125000	0.3957	0.3033	0.7589	0.7322	0.0812	0.460881393	0.5667	26.55	0.545	25.94	52.45	0.049102	0.088817
de	europarl	bm25	16000	150000	0.4131	0.3289	0.7795	0.7479	0.0829	0.480679723	0.582	27.25	0.553	26.99	53.3	0.072901	0.115527
de	europarl	bm25	16000	175000	0.4189	0.3373	0.7699	0.7445	0.0847	0.483286198	0.5891	28.31	0.563	28.61	54.39	0.099119	0.139494
de	europarl	bm25	16000	200000	0.4296	0.3489	0.7753	0.7589	0.0866	0.500087461	0.5986	28.81	0.567	28.99	54.81	0.114099	0.156931
de	europarl	bm25	32000	25000	0.2501	0.1477	0.6248	0.5862	0.0603	0.318725918	0.4221	17.27	0.438	12.74	41.48	-0.277298	-0.253876
de	europarl	bm25	32000	50000	0.3519	0.2575	0.6966	0.6621	0.0701	0.414380372	0.5252	22.21	0.502	19.96	48	-0.071666	-0.044827
de	europarl	bm25	32000	75000	0.3957	0.2928	0.7628	0.7283	0.0777	0.452774795	0.5665	25.1	0.532	23.96	51.2	0.021958	0.059449
de	europarl	bm25	32000	100000	0.4124	0.3261	0.7793	0.7593	0.0823	0.474833452	0.5808	26.33	0.545	25.99	52.38	0.05487	0.090689
de	europarl	bm25	32000	125000	0.4216	0.3297	0.7836	0.7479	0.0817	0.493845771	0.5887	27.57	0.557	27.59	53.68	0.086427	0.128155
de	europarl	bm25	32000	150000	0.435	0.3428	0.8014	0.7637	0.0867	0.502527982	0.6008	27.79	0.559	28	53.85	0.092212	0.133802
de	europarl	bm25	32000	175000	0.433	0.3462	0.7808	0.7555	0.0835	0.499963256	0.5995	28.68	0.566	29.01	54.63	0.118354	0.156946
de	europarl	bm25	32000	200000	0.4436	0.3393	0.785	0.7728	0.0852	0.518293375	0.6076	29.63	0.575	30.44	55.65	0.13388	0.175665
de	wiki	bm25	16000	25000	0.6058	0.1031	0.1362	0.0718	0.7184	0.301340587	0.6586	18.35	0.461	14.81	43.31	-0.207589	-0.178182
