System	BLEURTMean	BLEURTMedian
nc.en-cs.025000.bpe16000.fconv	-0.233231	-0.19935
nc.en-cs.025000.bpe32000.fconv	-0.30412	-0.281502
nc.en-cs.050000.bpe16000.fconv	-0.060558	-0.018857
nc.en-cs.050000.bpe32000.fconv	-0.062027	-0.021627
nc.en-cs.075000.bpe16000.fconv	-0.017226	0.032206
nc.en-cs.075000.bpe32000.fconv	0.017729	0.063235
nc.en-cs.100000.bpe16000.fconv	0.018455	0.068034
nc.en-cs.100000.bpe32000.fconv	0.071109	0.113031
nc.en-cs.125000.bpe16000.fconv	0.059481	0.106634
nc.en-cs.125000.bpe32000.fconv	0.091188	0.13753
nc.en-cs.150000.bpe16000.fconv	0.070955	0.127713
nc.en-cs.150000.bpe32000.fconv	0.099096	0.145362
nc.en-cs.175000.bpe16000.fconv	0.107968	0.160123
nc.en-cs.175000.bpe32000.fconv	0.122407	0.174303
nc.en-cs.200000.bpe16000.fconv	0.097593	0.151792
nc.en-cs.200000.bpe32000.fconv	0.127709	0.182215
nc.en-de.025000.bpe16000.fconv	-0.207589	-0.178182
nc.en-de.025000.bpe32000.fconv	-0.277298	-0.253876
nc.en-de.050000.bpe16000.fconv	-0.04658	-0.01193
nc.en-de.050000.bpe32000.fconv	-0.071666	-0.044827
nc.en-de.075000.bpe16000.fconv	0.003726	0.037691
nc.en-de.075000.bpe32000.fconv	0.021958	0.059449
nc.en-de.100000.bpe16000.fconv	0.051681	0.091223
nc.en-de.100000.bpe32000.fconv	0.05487	0.090689
nc.en-de.125000.bpe16000.fconv	0.049102	0.088817
nc.en-de.125000.bpe32000.fconv	0.086427	0.128155
nc.en-de.150000.bpe16000.fconv	0.072901	0.115527
nc.en-de.150000.bpe32000.fconv	0.092212	0.133802
nc.en-de.175000.bpe16000.fconv	0.099119	0.139494
nc.en-de.175000.bpe32000.fconv	0.118354	0.156946
nc.en-de.200000.bpe16000.fconv	0.114099	0.156931
nc.en-de.200000.bpe32000.fconv	0.13388	0.175665
