	MAP.gm	P5	P10	R10	RBO	NDCG	BLEU	CHRF2	MacroF1	MicroF1	MacroBLEU	MicroBLEU	CHRF1	CHRF3
MAP.gm	1.00000	0.98258	0.98298	0.94779	0.97354	0.98748	0.96618	0.96602	0.97180	0.97410	0.97143	0.96392	0.97623	0.97772
P5	0.98258	1.00000	0.99402	0.97676	0.96447	0.98090	0.97177	0.97310	0.97503	0.97624	0.97289	0.97004	0.98078	0.98177
P10	0.98298	0.99402	1.00000	0.98027	0.96976	0.98620	0.97476	0.97996	0.97902	0.98042	0.97656	0.97327	0.98472	0.98597
R10	0.94779	0.97676	0.98027	1.00000	0.93451	0.95466	0.96180	0.95758	0.96009	0.95958	0.95768	0.95945	0.96326	0.96457
RBO	0.97354	0.96447	0.96976	0.93451	1.00000	0.99342	0.98433	0.98361	0.98931	0.98862	0.99008	0.98468	0.98670	0.98522
NDCG	0.98748	0.98090	0.98620	0.95466	0.99342	1.00000	0.98548	0.98966	0.99112	0.99289	0.99038	0.98511	0.99358	0.99375
BLEU	0.96618	0.97177	0.97476	0.96180	0.98433	0.98548	1.00000	0.99492	0.99886	0.99727	0.99887	0.99937	0.99542	0.99475
CHRF2	0.96602	0.97310	0.97996	0.95758	0.98361	0.98966	0.99492	1.00000	0.99701	0.99780	0.99534	0.99503	0.99800	0.99802
MacroF1	0.97180	0.97503	0.97902	0.96009	0.98931	0.99112	0.99886	0.99701	1.00000	0.99927	0.99975	0.99908	0.99801	0.99730
MicroF1	0.97410	0.97624	0.98042	0.95958	0.98862	0.99289	0.99727	0.99780	0.99927	1.00000	0.99860	0.99775	0.99937	0.99885
MacroBLEU	0.97143	0.97289	0.97656	0.95768	0.99008	0.99038	0.99887	0.99534	0.99975	0.99860	1.00000	0.99910	0.99685	0.99591
MicroBLEU	0.96392	0.97004	0.97327	0.95945	0.98468	0.98511	0.99937	0.99503	0.99908	0.99775	0.99910	1.00000	0.99583	0.99465
CHRF1	0.97623	0.98078	0.98472	0.96326	0.98670	0.99358	0.99542	0.99800	0.99801	0.99937	0.99685	0.99583	1.00000	0.99972
CHRF3	0.97772	0.98177	0.98597	0.96457	0.98522	0.99375	0.99475	0.99802	0.99730	0.99885	0.99591	0.99465	0.99972	1.00000
