	MAP.gm	P5	P10	R10	RBO	NDCG	BLEU	CHRF2	MacroF1	MicroF1	MacroBLEU	MicroBLEU	CHRF1	CHRF3
MAP.gm	1.00000	0.75000	0.76151	0.86667	0.86667	0.88333	0.86667	0.87512	0.89541	0.86667	0.90000	0.89541	0.87867	0.87398
P5	0.75000	1.00000	0.84520	0.75000	0.85000	0.83333	0.75000	0.75382	0.74478	0.75000	0.78333	0.74478	0.76151	0.73952
P10	0.76151	0.84520	1.00000	0.81172	0.89541	0.84520	0.79499	0.79178	0.78992	0.79499	0.79499	0.78992	0.80672	0.78482
R10	0.86667	0.75000	0.81172	1.00000	0.86667	0.85000	0.80000	0.84046	0.82846	0.80000	0.83333	0.82846	0.81172	0.82356
RBO	0.86667	0.85000	0.89541	0.86667	1.00000	0.95000	0.90000	0.89245	0.89541	0.90000	0.90000	0.89541	0.91214	0.89079
NDCG	0.88333	0.83333	0.84520	0.85000	0.95000	1.00000	0.88333	0.89245	0.87867	0.88333	0.91667	0.87867	0.89541	0.87398
BLEU	0.86667	0.75000	0.79499	0.80000	0.90000	0.88333	1.00000	0.96177	0.97909	1.00000	0.93333	0.97909	0.99582	0.99163
CHRF2	0.87512	0.75382	0.79178	0.84046	0.89245	0.89245	0.96177	1.00000	0.96580	0.96177	0.96177	0.96580	0.96580	0.96989
MacroF1	0.89541	0.74478	0.78992	0.82846	0.89541	0.87867	0.97909	0.96580	1.00000	0.97909	0.96235	1.00000	0.97479	0.98735
MicroF1	0.86667	0.75000	0.79499	0.80000	0.90000	0.88333	1.00000	0.96177	0.97909	1.00000	0.93333	0.97909	0.99582	0.99163
MacroBLEU	0.90000	0.78333	0.79499	0.83333	0.90000	0.91667	0.93333	0.96177	0.96235	0.93333	1.00000	0.96235	0.94561	0.94121
MicroBLEU	0.89541	0.74478	0.78992	0.82846	0.89541	0.87867	0.97909	0.96580	1.00000	0.97909	0.96235	1.00000	0.97479	0.98735
CHRF1	0.87867	0.76151	0.80672	0.81172	0.91214	0.89541	0.99582	0.96580	0.97479	0.99582	0.94561	0.97479	1.00000	0.98735
CHRF3	0.87398	0.73952	0.78482	0.82356	0.89079	0.87398	0.99163	0.96989	0.98735	0.99163	0.94121	0.98735	0.98735	1.00000
