System	BLEURTmean	BLEURTmedian
en-cs.100K.bpe16K	-0.136142	-0.094805
en-cs.100K.bpe32K	-0.062252	-0.032813
en-cs.125K.bpe16K	-0.072642	-0.031041
en-cs.125K.bpe32K	-0.026552	0.017866
en-cs.150K.bpe16K	-0.053355	-0.006262
en-cs.150K.bpe32K	-0.010051	0.037152
en-cs.175K.bpe16K	0.002690	0.057301
en-cs.175K.bpe32K	0.021735	0.071000
en-cs.200K.bpe16K	-0.010291	0.045100
en-cs.200K.bpe32K	0.027023	0.074749
en-cs.25K.bpe16K	-0.520497	-0.543558
en-cs.25K.bpe32K	-0.575944	-0.597537
en-cs.50K.bpe16K	-0.265424	-0.243487
en-cs.50K.bpe32K	-0.259412	-0.237522
en-cs.75K.bpe16K	-0.194438	-0.166207
en-cs.75K.bpe32K	-0.136592	-0.099124
en-de.100K.bpe16K	-0.114850	-0.091754
en-de.100K.bpe32K	-0.100319	-0.072700
en-de.125K.bpe16K	-0.121898	-0.100267
en-de.125K.bpe32K	-0.049292	-0.013288
en-de.150K.bpe16K	-0.079078	-0.045792
en-de.150K.bpe32K	-0.043225	-0.003830
en-de.175K.bpe16K	-0.031819	-0.002834
en-de.175K.bpe32K	0.000957	0.035884
en-de.200K.bpe16K	-0.009744	0.023508
en-de.200K.bpe32K	0.031836	0.075649
en-de.25K.bpe16K	-0.530938	-0.556661
en-de.25K.bpe32K	-0.576399	-0.611996
en-de.50K.bpe16K	-0.277656	-0.277551
en-de.50K.bpe32K	-0.306314	-0.307568
en-de.75K.bpe16K	-0.193824	-0.181783
en-de.75K.bpe32K	-0.157544	-0.138634
