,Group,MT,BLEU,CHRF1,MacroF1,MicroF1,BLEURTMean,BLEURTMedian
0,cs europarl bm25,BLEU,1,1,0.983,1,0.95,0.983
1,cs europarl bm25,CHRF1,1,1,0.983,1,0.95,0.983
2,cs europarl bm25,MacroF1,0.983,0.983,1,0.983,0.967,0.967
3,cs europarl bm25,MicroF1,1,1,0.983,1,0.95,0.983
4,cs europarl bm25,BLEURTMean,0.95,0.95,0.967,0.95,1,0.967
5,cs europarl bm25,BLEURTMedian,0.983,0.983,0.967,0.983,0.967,1
6,cs wiki bm25,BLEU,1,1,0.983,1,0.95,0.983
7,cs wiki bm25,CHRF1,1,1,0.983,1,0.95,0.983
8,cs wiki bm25,MacroF1,0.983,0.983,1,0.983,0.967,0.967
9,cs wiki bm25,MicroF1,1,1,0.983,1,0.95,0.983
10,cs wiki bm25,BLEURTMean,0.95,0.95,0.967,0.95,1,0.967
11,cs wiki bm25,BLEURTMedian,0.983,0.983,0.967,0.983,0.967,1
12,cs wiki neural,BLEU,1,1,0.983,1,0.95,0.983
13,cs wiki neural,CHRF1,1,1,0.983,1,0.95,0.983
14,cs wiki neural,MacroF1,0.983,0.983,1,0.983,0.967,0.967
15,cs wiki neural,MicroF1,1,1,0.983,1,0.95,0.983
16,cs wiki neural,BLEURTMean,0.95,0.95,0.967,0.95,1,0.967
17,cs wiki neural,BLEURTMedian,0.983,0.983,0.967,0.983,0.967,1
18,de europarl bm25,BLEU,1,0.996,0.933,1,0.95,0.967
19,de europarl bm25,CHRF1,0.996,1,0.946,0.996,0.962,0.979
20,de europarl bm25,MacroF1,0.933,0.946,1,0.933,0.983,0.967
21,de europarl bm25,MicroF1,1,0.996,0.933,1,0.95,0.967
22,de europarl bm25,BLEURTMean,0.95,0.962,0.983,0.95,1,0.983
23,de europarl bm25,BLEURTMedian,0.967,0.979,0.967,0.967,0.983,1
24,de wiki bm25,BLEU,1,0.996,0.933,1,0.95,0.967
25,de wiki bm25,CHRF1,0.996,1,0.946,0.996,0.962,0.979
26,de wiki bm25,MacroF1,0.933,0.946,1,0.933,0.983,0.967
27,de wiki bm25,MicroF1,1,0.996,0.933,1,0.95,0.967
28,de wiki bm25,BLEURTMean,0.95,0.962,0.983,0.95,1,0.983
29,de wiki bm25,BLEURTMedian,0.967,0.979,0.967,0.967,0.983,1
30,de wiki neural,BLEU,1,0.996,0.933,1,0.95,0.967
31,de wiki neural,CHRF1,0.996,1,0.946,0.996,0.962,0.979
32,de wiki neural,MacroF1,0.933,0.946,1,0.933,0.983,0.967
33,de wiki neural,MicroF1,1,0.996,0.933,1,0.95,0.967
34,de wiki neural,BLEURTMean,0.95,0.962,0.983,0.95,1,0.983
35,de wiki neural,BLEURTMedian,0.967,0.979,0.967,0.967,0.983,1
