	Group	IR	BLEU	CHRF1	MacroF1	MicroF1	BLEURTMean	BLEURTMedian
0	cs europarl bm25	MAP	0.992	0.996	0.995	0.997	0.996	0.996
1	cs europarl bm25	P10	0.977	0.985	0.979	0.983	0.984	0.987
2	cs europarl bm25	R10	0.964	0.964	0.959	0.962	0.954	0.957
3	cs europarl bm25	RBO	0.985	0.987	0.989	0.989	0.991	0.988
4	cs europarl bm25	NDCG	0.988	0.994	0.992	0.995	0.996	0.996
5	cs wiki bm25	MAP	0.936	0.950	0.936	0.944	0.943	0.950
6	cs wiki bm25	P10	0.933	0.951	0.935	0.944	0.947	0.953
7	cs wiki bm25	R10	0.933	0.951	0.935	0.944	0.947	0.953
8	cs wiki bm25	RBO	0.935	0.945	0.933	0.939	0.934	0.941
9	cs wiki bm25	NDCG	0.934	0.950	0.934	0.943	0.944	0.950
10	cs wiki neural	MAP	0.938	0.942	0.933	0.937	0.927	0.935
11	cs wiki neural	P10	0.937	0.942	0.933	0.937	0.927	0.935
12	cs wiki neural	R10	0.938	0.942	0.933	0.937	0.928	0.936
13	cs wiki neural	RBO	0.962	0.960	0.957	0.957	0.947	0.954
14	cs wiki neural	NDCG	0.935	0.942	0.931	0.936	0.929	0.938
15	de europarl bm25	MAP	0.987	0.991	0.989	0.992	0.994	0.993
16	de europarl bm25	P10	0.974	0.982	0.977	0.981	0.983	0.983
17	de europarl bm25	R10	0.978	0.983	0.982	0.981	0.980	0.982
18	de europarl bm25	RBO	0.991	0.992	0.992	0.993	0.993	0.992
19	de europarl bm25	NDCG	0.985	0.992	0.987	0.992	0.996	0.995
20	de wiki bm25	MAP	0.897	0.925	0.903	0.914	0.923	0.925
21	de wiki bm25	P10	0.891	0.923	0.899	0.911	0.922	0.924
22	de wiki bm25	R10	0.891	0.922	0.899	0.911	0.921	0.923
23	de wiki bm25	RBO	0.913	0.937	0.918	0.927	0.933	0.936
24	de wiki bm25	NDCG	0.894	0.924	0.901	0.912	0.921	0.924
25	de wiki neural	MAP	0.909	0.926	0.912	0.918	0.920	0.923
26	de wiki neural	P10	0.906	0.924	0.909	0.916	0.917	0.921
27	de wiki neural	R10	0.905	0.924	0.909	0.915	0.917	0.920
28	de wiki neural	RBO	0.939	0.952	0.942	0.946	0.945	0.948
29	de wiki neural	NDCG	0.913	0.933	0.917	0.924	0.927	0.930
