	Group	MT	BLEU	CHRF1	MacroF1	MicroF1	BLEURTMean	BLEURTMedian
0	cs europarl bm25	BLEU	1.000	0.997	0.999	0.998	0.991	0.992
1	cs europarl bm25	CHRF1	0.997	1.000	0.998	1.000	0.998	0.998
2	cs europarl bm25	MacroF1	0.999	0.998	1.000	0.999	0.995	0.995
3	cs europarl bm25	MicroF1	0.998	1.000	0.999	1.000	0.998	0.998
4	cs europarl bm25	BLEURTMean	0.991	0.998	0.995	0.998	1.000	1.000
5	cs europarl bm25	BLEURTMedian	0.992	0.998	0.995	0.998	1.000	1.000
6	cs wiki bm25	BLEU	1.000	0.997	0.999	0.998	0.991	0.992
7	cs wiki bm25	CHRF1	0.997	1.000	0.998	1.000	0.998	0.998
8	cs wiki bm25	MacroF1	0.999	0.998	1.000	0.999	0.995	0.995
9	cs wiki bm25	MicroF1	0.998	1.000	0.999	1.000	0.998	0.998
10	cs wiki bm25	BLEURTMean	0.991	0.998	0.995	0.998	1.000	1.000
11	cs wiki bm25	BLEURTMedian	0.992	0.998	0.995	0.998	1.000	1.000
12	cs wiki neural	BLEU	1.000	0.997	0.999	0.998	0.991	0.992
13	cs wiki neural	CHRF1	0.997	1.000	0.998	1.000	0.998	0.998
14	cs wiki neural	MacroF1	0.999	0.998	1.000	0.999	0.995	0.995
15	cs wiki neural	MicroF1	0.998	1.000	0.999	1.000	0.998	0.998
16	cs wiki neural	BLEURTMean	0.991	0.998	0.995	0.998	1.000	1.000
17	cs wiki neural	BLEURTMedian	0.992	0.998	0.995	0.998	1.000	1.000
18	de europarl bm25	BLEU	1.000	0.996	0.999	0.998	0.994	0.994
19	de europarl bm25	CHRF1	0.996	1.000	0.997	0.999	0.999	0.999
20	de europarl bm25	MacroF1	0.999	0.997	1.000	0.998	0.995	0.996
21	de europarl bm25	MicroF1	0.998	0.999	0.998	1.000	0.999	0.999
22	de europarl bm25	BLEURTMean	0.994	0.999	0.995	0.999	1.000	1.000
23	de europarl bm25	BLEURTMedian	0.994	0.999	0.996	0.999	1.000	1.000
24	de wiki bm25	BLEU	1.000	0.996	0.999	0.998	0.994	0.994
25	de wiki bm25	CHRF1	0.996	1.000	0.997	0.999	0.999	0.999
26	de wiki bm25	MacroF1	0.999	0.997	1.000	0.998	0.995	0.996
27	de wiki bm25	MicroF1	0.998	0.999	0.998	1.000	0.999	0.999
28	de wiki bm25	BLEURTMean	0.994	0.999	0.995	0.999	1.000	1.000
29	de wiki bm25	BLEURTMedian	0.994	0.999	0.996	0.999	1.000	1.000
30	de wiki neural	BLEU	1.000	0.996	0.999	0.998	0.994	0.994
31	de wiki neural	CHRF1	0.996	1.000	0.997	0.999	0.999	0.999
32	de wiki neural	MacroF1	0.999	0.997	1.000	0.998	0.995	0.996
33	de wiki neural	MicroF1	0.998	0.999	0.998	1.000	0.999	0.999
34	de wiki neural	BLEURTMean	0.994	0.999	0.995	0.999	1.000	1.000
35	de wiki neural	BLEURTMedian	0.994	0.999	0.996	0.999	1.000	1.000
