	Year	Correlation	Langs	BLEU_m	BLEU	MacroF1	MicroF1	CHRF1	MacroF3	MicroF3	CHRF3
0	2019	pearson	de-cs	0.941	0.866	0.97	0.954	0.985	0.967	0.951	0.978
1	2019	pearson	de-en	0.849	0.891	0.928	0.92	0.93	0.931	0.917	0.911
2	2019	pearson	de-fr	0.891	0.952	0.964	0.969	0.963	0.956	0.956	0.957
3	2019	pearson	en-cs	0.897	0.988	0.978	0.982	0.98	0.978	0.985	0.98
4	2019	pearson	en-de	0.921	0.959	0.956	0.976	0.983	0.961	0.983	0.971
5	2019	pearson	en-fi	0.969	0.97	0.973	0.977	0.99	0.974	0.978	0.979
6	2019	pearson	en-gu	0.737	0.736	0.736	0.8	0.848	0.731	0.775	0.846
7	2019	pearson	en-kk	0.852	0.849	0.929	0.955	0.964	0.931	0.95	0.964
8	2019	pearson	en-lt	0.989	0.989	0.981	0.985	0.978	0.977	0.978	0.969
9	2019	pearson	en-ru	0.986	0.968	0.983	0.988	0.988	0.984	0.982	0.986
10	2019	pearson	en-zh	0.901	0.896	0.595	0.84	0.843	0.639	0.885	0.842
11	2019	pearson	fi-en	0.982	0.986	0.952	0.987	0.991	0.953	0.992	0.987
12	2019	pearson	fr-de	0.864	0.886	0.88	0.854	0.887	0.861	0.763	0.903
13	2019	pearson	gu-en	0.834	0.798	0.851	0.877	0.964	0.858	0.886	0.953
14	2019	pearson	kk-en	0.946	0.943	0.973	0.972	0.984	0.969	0.956	0.97
15	2019	pearson	lt-en	0.961	0.969	0.969	0.968	0.946	0.964	0.946	0.931
16	2019	pearson	ru-en	0.879	0.861	0.92	0.923	0.92	0.922	0.913	0.939
17	2019	pearson	zh-en	0.899	0.888	0.917	0.932	0.924	0.924	0.942	0.953
											
18	2019	kendall	de-cs	0.855	0.745	0.964	0.917	0.982	0.964	0.855	0.963
19	2019	kendall	de-en	0.571	0.655	0.723	0.695	0.742	0.717	0.689	0.684
20	2019	kendall	de-fr	0.782	0.881	0.927	0.844	0.915	0.917	0.855	0.86
21	2019	kendall	en-cs	0.709	0.954	0.927	0.927	0.908	0.927	0.927	0.925
22	2019	kendall	en-de	0.54	0.752	0.741	0.773	0.824	0.738	0.778	0.767
23	2019	kendall	en-fi	0.879	0.818	0.879	0.848	0.923	0.879	0.848	0.862
24	2019	kendall	en-gu	0.709	0.709	0.6	0.734	0.709	0.55	0.6	0.771
25	2019	kendall	en-kk	0.491	0.527	0.685	0.636	0.661	0.697	0.745	0.711
26	2019	kendall	en-lt	0.879	0.848	0.97	0.939	0.881	0.954	0.909	0.858
27	2019	kendall	en-ru	0.87	0.848	0.939	0.879	0.93	0.931	0.818	0.946
28	2019	kendall	en-zh	0.606	0.606	*0.424	0.595	0.594	*0.394	0.606	0.615
29	2019	kendall	fi-en	0.788	0.809	0.909	0.901	0.875	0.909	0.848	0.867
30	2019	kendall	fr-de	0.822	0.733	0.733	0.764	0.815	0.733	0.584	0.815
31	2019	kendall	gu-en	0.782	0.709	0.855	0.891	0.945	0.796	0.855	0.982
32	2019	kendall	kk-en	0.891	0.844	0.796	0.844	0.881	0.782	0.745	0.759
33	2019	kendall	lt-en	0.818	0.855	0.844	0.855	0.833	0.855	0.844	0.844
34	2019	kendall	ru-en	0.692	0.729	0.714	0.78	0.757	0.714	0.736	0.83
35	2019	kendall	zh-en	0.695	0.695	0.752	0.676	0.715	0.771	0.79	0.748
											
36	2018	pearson	cs-en	0.97	0.954	0.887	0.96	0.915	*0.878	0.945	0.949
37	2018	pearson	de-en	0.971	0.968	0.985	0.984	0.992	0.985	0.986	0.995
38	2018	pearson	en-cs	0.995	0.996	0.988	0.994	0.991	0.987	0.987	0.996
39	2018	pearson	en-de	0.981	0.98	0.985	0.983	0.991	0.985	0.981	0.991
40	2018	pearson	en-et	0.975	0.97	0.971	0.974	0.978	0.968	0.968	0.973
41	2018	pearson	en-fi	0.962	0.967	0.971	0.969	0.956	0.968	0.962	0.968
42	2018	pearson	en-ru	0.983	0.979	0.985	0.986	0.99	0.986	0.985	0.994
43	2018	pearson	en-tr	0.826	0.839	0.915	0.871	0.926	0.912	0.878	0.889
44	2018	pearson	en-zh	0.947	0.946	0.907	0.947	0.934	0.89	0.934	0.946
45	2018	pearson	et-en	0.986	0.986	0.973	0.98	0.985	0.974	0.977	0.978
46	2018	pearson	fi-en	0.973	0.963	0.973	0.987	0.989	0.973	0.993	0.975
47	2018	pearson	ru-en	0.979	0.966	0.98	0.974	0.969	0.982	0.982	0.989
48	2018	pearson	tr-en	*0.657	0.939	*0.480	*0.373	*0.574	*0.434	*0.604	*0.717
49	2018	pearson	zh-en	0.978	0.985	0.96	0.98	0.97	0.955	0.97	0.922
											
50	2018	kendall	cs-en	*0.800	*0.800	*0.600	*0.800	*0.738	*0.600	*0.800	*0.800
51	2018	kendall	de-en	0.828	0.845	0.917	0.883	0.919	0.917	0.9	0.94
52	2018	kendall	en-cs	1	1	0.949	1	0.949	*0.800	*0.800	1
53	2018	kendall	en-de	0.778	0.75	0.85	0.783	0.848	0.845	0.728	0.799
54	2018	kendall	en-et	0.868	0.868	0.934	0.906	0.949	0.934	0.928	0.933
55	2018	kendall	en-fi	0.901	0.848	0.901	0.879	0.945	0.909	0.909	0.945
56	2018	kendall	en-ru	0.889	0.889	0.944	0.889	0.93	0.944	0.889	0.944
57	2018	kendall	en-tr	*0.571	*0.400	0.837	*0.571	0.849	0.764	*0.546	0.725
58	2018	kendall	en-zh	0.736	0.729	0.685	0.833	0.827	0.648	0.856	0.778
59	2018	kendall	et-en	0.884	0.9	0.884	0.878	0.904	0.884	0.906	0.932
60	2018	kendall	fi-en	0.944	0.944	0.889	0.915	0.957	0.889	1	0.915
61	2018	kendall	ru-en	0.786	0.786	0.929	0.857	0.869	0.929	0.929	0.964
62	2018	kendall	tr-en	*0.200	*0.738	*0.400	*0.316	*0.632	*0.400	*0.316	*0.598
63	2018	kendall	zh-en	0.824	0.872	0.738	0.78	0.82	0.767	0.846	0.797
											
64	2017	pearson	cs-en	0.971	0.964	*0.575	*0.880	*0.893	*0.564	*0.799	*0.821
65	2017	pearson	de-en	0.923	0.93	0.962	0.948	0.932	0.964	0.954	0.955
66	2017	pearson	en-cs	0.956	0.954	0.957	0.962	0.973	0.959	0.97	0.972
67	2017	pearson	en-de	0.867	0.891	0.846	0.864	0.872	0.847	0.859	0.887
68	2017	pearson	en-fi	0.92	0.918	0.95	0.967	0.976	0.953	0.969	0.984
69	2017	pearson	en-ru	0.898	0.902	0.952	0.923	0.931	0.952	0.917	0.956
70	2017	pearson	en-tr	0.924	0.886	0.886	0.917	0.985	0.875	0.898	0.985
71	2017	pearson	en-zh	0.982	0.98	0.713	0.939	0.974	0.684	0.896	0.971
72	2017	pearson	fi-en	0.903	0.893	0.871	0.917	0.963	0.878	0.897	0.938
