	Year	Correlation	Langs	BLEU_m	BLEU	MacroF1	MicroF1	CHRF1	MacroF3	MicroF3	CHRF3
0	2019	pearson	de-cs	0.941|0.00	0.866|0.00	0.970|0.00	0.954|0.00	0.985|0.00	0.967|0.00	0.951|0.00	0.978|0.00
1	2019	pearson	de-en	0.849|0.00	0.891|0.00	0.928|0.00	0.920|0.00	0.930|0.00	0.931|0.00	0.917|0.00	0.911|0.00
2	2019	pearson	de-fr	0.891|0.00	0.952|0.00	0.964|0.00	0.969|0.00	0.963|0.00	0.956|0.00	0.956|0.00	0.957|0.00
3	2019	pearson	en-cs	0.897|0.00	0.988|0.00	0.978|0.00	0.982|0.00	0.980|0.00	0.978|0.00	0.985|0.00	0.980|0.00
4	2019	pearson	en-de	0.921|0.00	0.959|0.00	0.956|0.00	0.976|0.00	0.983|0.00	0.961|0.00	0.983|0.00	0.971|0.00
5	2019	pearson	en-fi	0.969|0.00	0.970|0.00	0.973|0.00	0.977|0.00	0.990|0.00	0.974|0.00	0.978|0.00	0.979|0.00
6	2019	pearson	en-gu	0.737|0.01	0.736|0.01	0.736|0.01	0.800|0.00	0.848|0.00	0.731|0.01	0.775|0.01	0.846|0.00
7	2019	pearson	en-kk	0.852|0.00	0.849|0.00	0.929|0.00	0.955|0.00	0.964|0.00	0.931|0.00	0.950|0.00	0.964|0.00
8	2019	pearson	en-lt	0.989|0.00	0.989|0.00	0.981|0.00	0.985|0.00	0.978|0.00	0.977|0.00	0.978|0.00	0.969|0.00
9	2019	pearson	en-ru	0.986|0.00	0.968|0.00	0.983|0.00	0.988|0.00	0.988|0.00	0.984|0.00	0.982|0.00	0.986|0.00
10	2019	pearson	en-zh	0.901|0.00	0.896|0.00	0.595|0.04	0.840|0.00	0.843|0.00	0.639|0.03	0.885|0.00	0.842|0.00
11	2019	pearson	fi-en	0.982|0.00	0.986|0.00	0.952|0.00	0.987|0.00	0.991|0.00	0.953|0.00	0.992|0.00	0.987|0.00
12	2019	pearson	fr-de	0.864|0.00	0.886|0.00	0.880|0.00	0.854|0.00	0.887|0.00	0.861|0.00	0.763|0.01	0.903|0.00
13	2019	pearson	gu-en	0.834|0.00	0.798|0.00	0.851|0.00	0.877|0.00	0.964|0.00	0.858|0.00	0.886|0.00	0.953|0.00
14	2019	pearson	kk-en	0.946|0.00	0.943|0.00	0.973|0.00	0.972|0.00	0.984|0.00	0.969|0.00	0.956|0.00	0.970|0.00
15	2019	pearson	lt-en	0.961|0.00	0.969|0.00	0.969|0.00	0.968|0.00	0.946|0.00	0.964|0.00	0.946|0.00	0.931|0.00
16	2019	pearson	ru-en	0.879|0.00	0.861|0.00	0.920|0.00	0.923|0.00	0.920|0.00	0.922|0.00	0.913|0.00	0.939|0.00
17	2019	pearson	zh-en	0.899|0.00	0.888|0.00	0.917|0.00	0.932|0.00	0.924|0.00	0.924|0.00	0.942|0.00	0.953|0.00
18	2019	kendall	de-cs	0.855|0.00	0.745|0.00	0.964|0.00	0.917|0.00	0.982|0.00	0.964|0.00	0.855|0.00	0.963|0.00
19	2019	kendall	de-en	0.571|0.00	0.655|0.00	0.723|0.00	0.695|0.00	0.742|0.00	0.717|0.00	0.689|0.00	0.684|0.00
20	2019	kendall	de-fr	0.782|0.00	0.881|0.00	0.927|0.00	0.844|0.00	0.915|0.00	0.917|0.00	0.855|0.00	0.860|0.00
21	2019	kendall	en-cs	0.709|0.00	0.954|0.00	0.927|0.00	0.927|0.00	0.908|0.00	0.927|0.00	0.927|0.00	0.925|0.00
22	2019	kendall	en-de	0.540|0.00	0.752|0.00	0.741|0.00	0.773|0.00	0.824|0.00	0.738|0.00	0.778|0.00	0.767|0.00
23	2019	kendall	en-fi	0.879|0.00	0.818|0.00	0.879|0.00	0.848|0.00	0.923|0.00	0.879|0.00	0.848|0.00	0.862|0.00
24	2019	kendall	en-gu	0.709|0.00	0.709|0.00	0.600|0.01	0.734|0.00	0.709|0.00	0.550|0.02	0.600|0.01	0.771|0.00
25	2019	kendall	en-kk	0.491|0.04	0.527|0.03	0.685|0.00	0.636|0.01	0.661|0.01	0.697|0.00	0.745|0.00	0.711|0.00
26	2019	kendall	en-lt	0.879|0.00	0.848|0.00	0.970|0.00	0.939|0.00	0.881|0.00	0.954|0.00	0.909|0.00	0.858|0.00
27	2019	kendall	en-ru	0.870|0.00	0.848|0.00	0.939|0.00	0.879|0.00	0.930|0.00	0.931|0.00	0.818|0.00	0.946|0.00
28	2019	kendall	en-zh	0.606|0.01	0.606|0.01	0.424|0.06	0.595|0.01	0.594|0.01	0.394|0.09	0.606|0.01	0.615|0.01
29	2019	kendall	fi-en	0.788|0.00	0.809|0.00	0.909|0.00	0.901|0.00	0.875|0.00	0.909|0.00	0.848|0.00	0.867|0.00
30	2019	kendall	fr-de	0.822|0.00	0.733|0.00	0.733|0.00	0.764|0.00	0.815|0.00	0.733|0.00	0.584|0.02	0.815|0.00
31	2019	kendall	gu-en	0.782|0.00	0.709|0.00	0.855|0.00	0.891|0.00	0.945|0.00	0.796|0.00	0.855|0.00	0.982|0.00
32	2019	kendall	kk-en	0.891|0.00	0.844|0.00	0.796|0.00	0.844|0.00	0.881|0.00	0.782|0.00	0.745|0.00	0.759|0.00
33	2019	kendall	lt-en	0.818|0.00	0.855|0.00	0.844|0.00	0.855|0.00	0.833|0.00	0.855|0.00	0.844|0.00	0.844|0.00
