Year	Langs	System	Human	BLEU_m	BLEU	MacroF1	MicroF1	MacroBLEUF	MicroBLEUF	CHRF1	MacroF3	MicroF3	CHRF3
2018	cs-en	online-B.0	0.115	0.3416	33.1	41.0	59.4	34.8	52.5	0.59	41.8	59.4	0.58	
2018	cs-en	CUNI-Transformer.5560	0.298	0.3569	33.9	42.1	60.6	35.7	53.2	0.59	42.9	60.5	0.59	
2018	de-en	RWTH.5636	0.413	0.5047	48.4	53.3	71.2	46.1	61.3	0.70	54.0	71.4	0.69	
2018	cs-en	uedin.5561	0.165	0.3363	31.8	39.4	58.6	33.1	51.3	0.58	40.3	58.9	0.57	
2018	de-en	online-B.0	0.346	0.4553	43.9	50.6	69.0	43.2	59.3	0.68	51.3	68.8	0.67	
2018	de-en	NTT.5666	0.359	0.4883	46.8	51.5	70.2	44.2	60.2	0.69	52.1	70.4	0.68	
2018	de-en	MLLP-UPV.5554	0.321	0.4743	45.1	49.8	69.3	42.7	59.6	0.68	50.5	69.1	0.67	
2018	de-en	JHU.5706	0.317	0.4748	45.3	49.7	69.2	42.6	59.5	0.68	50.3	69.0	0.67	
2018	de-en	uedin.5766	0.261	0.4606	43.9	48.4	68.2	41.3	58.7	0.67	49.1	68.1	0.66	
2018	en-cs	CUNI-Transformer.5595	0.594	0.2690	26.0	30.1	47.9	25.0	41.9	0.54	30.7	48.3	0.54	
2018	cs-en	online-A.0	-0.023	0.2849	26.8	33.6	54.7	28.0	48.1	0.54	34.3	55.0	0.54	
2018	de-en	LMU-nmt.5756	0.162	0.4326	40.9	45.7	66.2	38.8	56.7	0.65	46.4	66.2	0.64	
2018	de-en	Ubiqus-NMT.5635	0.315	0.4583	44.1	49.2	68.8	42.2	59.4	0.67	49.9	68.3	0.66	
2018	de-en	NJUNMT-private.5406	0.149	0.3984	38.3	43.4	64.2	36.6	55.1	0.63	44.0	64.4	0.62	
2018	de-en	UCAM.5690	0.395	0.5003	48.0	53.2	71.3	45.8	61.3	0.70	53.9	71.2	0.69	
2018	de-en	online-Y.0	0.31	0.4186	39.5	45.4	64.8	38.5	55.6	0.65	46.1	64.8	0.65	
2018	cs-en	online-G.0	-0.183	0.2525	22.5	34.3	53.1	28.2	46.5	0.53	35.3	54.4	0.53	
2018	en-de	online-Z.0	0.653	0.4703	46.1	46.5	67.4	39.5	57.9	0.70	47.1	67.1	0.69	
2018	en-de	online-B.0	0.561	0.4863	47.7	46.1	67.7	39.4	57.8	0.71	46.7	67.8	0.70	
2018	en-de	KIT.5486	0.454	0.4740	46.3	45.0	67.2	38.2	57.2	0.70	45.7	67.2	0.69	
2018	de-en	online-G.0	-0.074	0.3646	31.9	41.3	61.2	34.1	51.5	0.61	42.2	62.9	0.60	
2018	en-de	MMT-production-system.5594	0.539	0.4703	46.2	44.4	66.6	37.6	56.5	0.70	45.2	66.9	0.69	
2018	en-cs	online-A.0	-0.115	0.1688	15.7	21.0	38.5	17.1	34.1	0.46	21.9	39.7	0.46	
2018	en-cs	online-B.0	0.101	0.2024	19.4	23.6	41.6	19.3	36.5	0.49	24.4	42.4	0.48	
2018	en-cs	uedin.5630	0.384	0.2438	23.4	27.4	45.5	22.5	39.5	0.52	28.2	46.3	0.52	
2018	en-cs	online-G.0	-0.246	0.1641	15.1	21.0	38.1	17.0	33.5	0.46	22.0	39.8	0.45	
2018	en-de	Microsoft-Marian.5691	0.551	0.4939	48.3	46.3	68.3	39.4	58.0	0.71	47.1	68.8	0.71	
