Year	Langs	System	Human	BLEU_m	BLEU	MacroF1	MicroF1	MacroBLEUF	MicroBLEUF	CHRF1	CHRF3
2017	cs-en	uedin-nmt.4955	0.181	0.3248	30.9	39.4	58.3	32.9	51.0	0.57	0.57	
2017	cs-en	PJATK.4760	-0.268	0.2432	23.2	36.0	53.8	29.7	47.6	0.53	0.53	
2017	en-cs	CU-Chimera.4886	0.05	0.2179	20.5	23.9	43.1	20.0	38.5	0.49	0.48	
2017	de-en	C-3MA.4958	-0.103	0.3073	29.0	35.8	57.0	30.3	50.4	0.56	0.55	
2017	en-cs	tuning-task-ufal_8gb.sgm.0	-0.236	0.1628	15.3	18.3	37.0	15.5	34.0	0.43	0.42	
2017	en-cs	limsi-factored-norm.4957	0.111	0.2109	20.2	23.9	43.3	19.8	38.4	0.49	0.49	
2017	cs-en	online-B.0	0.068	0.2877	27.4	36.5	55.9	30.6	49.4	0.55	0.54	
2017	en-cs	online-B.0	0.24	0.2069	20.1	23.5	42.6	19.4	37.7	0.49	0.48	
2017	en-cs	tuning-task-baseline_4gb.sgm.0			13.7	16.0	34.6	13.7	32.1	0.41	0.40	
2017	de-en	SYSTRAN.4846	0.098	0.3490	33.2	40.4	60.7	33.9	52.8	0.59	0.58	
2017	de-en	online-A.0	0.169	0.3491	32.5	39.9	60.3	33.4	52.3	0.59	0.59	
2017	de-en	uedin-nmt.4723	0.162	0.3725	35.1	41.7	61.9	35.2	53.6	0.60	0.60	
2017	de-en	LIUM-NMT.4733	0.029	0.3167	30.1	36.9	57.6	31.0	50.1	0.57	0.56	
2017	de-en	online-B.0	0.213	0.3455	33.0	41.1	60.8	34.6	52.9	0.59	0.59	
2017	en-cs	PJATK.4761	-0.327	0.1647	16.2	20.2	38.5	17.0	35.4	0.44	0.43	
2017	en-cs	tuning-task-baseline_8gb.sgm.0	-0.373	0.1468	13.8	16.3	35.0	14.0	32.6	0.42	0.40	
2017	de-en	KIT.4951	0.165	0.3640	34.6	41.3	61.4	34.8	53.2	0.60	0.59	
2017	en-cs	tuning-task-afrl_4gb.sgm.0	-0.315	0.1506	14.2	16.9	35.1	14.4	32.8	0.42	0.41	
2017	en-cs	LIUM-NMT.4947	0.09	0.2077	20.2	23.5	43.0	19.4	38.2	0.49	0.48	
2017	cs-en	online-A.0	-0.068	0.2680	25.1	33.0	53.7	27.3	47.3	0.53	0.53	
2017	en-cs	tuning-task-ufal_4gb.sgm.0	-0.486	0.1391	13.1	15.4	34.0	13.2	31.6	0.41	0.39	
2017	en-cs	tuning-task-afrl_8gb.sgm.0	-0.376	0.1561	14.7	17.1	35.6	14.6	33.1	0.42	0.41	
2017	de-en	RWTH-nmt-ensemble.4920	0.131	0.3524	33.1	39.9	60.5	33.6	52.3	0.59	0.59	
2017	en-cs	LIUM-FNMT.4852	0.102	0.2086	20.0	23.4	42.8	19.3	37.9	0.49	0.48	
2017	de-en	TALP-UPC.4830	-0.058	0.2998	28.1	36.7	57.0	30.6	50.2	0.56	0.56	
2017	en-cs	online-A.0	0.029	0.1763	16.6	20.8	39.7	17.0	35.4	0.46	0.46	
2017	en-cs	uedin-nmt.4956	0.308	0.2345	22.8	26.3	45.7	21.8	40.4	0.51	0.50	
2017	en-cs	tuning-task-denisov_4gb.sgm.0	-0.493	0.1344	12.6	15.6	33.4	13.4	31.2	0.40	0.40	
2017	de-en	online-G.0	-0.072	0.3014	26.0	36.6	56.3	30.0	48.4	0.56	0.56	
2017	en-de	FBK.4870			26.3	30.9	52.1	25.1	44.9	0.56	0.54	
2017	en-de	KIT.4950	0.022	0.2727	26.1	28.6	51.0	23.2	43.9	0.56	0.56	
2017	en-de	C-3MA.4959	-0.27	0.2368	22.7	25.5	48.0	20.8	41.9	0.53	0.52	
2017	en-de	LMU-nmt-single.4893	0.035	0.2764	26.6	28.9	51.5	23.6	44.4	0.56	0.56	
2017	de-en	online-F.0	-0.26	0.1955	17.7	30.2	49.9	24.0	43.6	0.49	0.50	
2017	en-de	LIUM-NMT.4900	0.006	0.2755	26.6	30.2	52.2	24.6	44.6	0.56	0.56	
2017	en-de	LMU-nmt-reranked.4934	0.257	0.2822	27.1	29.5	52.1	24.2	44.8	0.57	0.56	
2017	en-de	online-A.0	-0.233	0.2255	20.8	25.2	47.4	20.2	41.0	0.52	0.52	
2017	en-de	online-G.0	-0.491	0.2042	18.2	25.1	46.1	20.0	39.6	0.52	0.52	
2017	en-de	online-F.0	-0.44	0.1608	15.5	21.6	42.1	16.9	36.8	0.49	0.49	
2017	en-de	online-B.0	0.158	0.2734	26.7	30.0	52.0	24.3	44.3	0.56	0.56	
2017	en-lv	PJATK.4744			10.1	11.6	28.1	10.1	26.1	0.38	0.35	
2017	en-lv	LIUM-NMT.5042			17.0	19.1	38.8	15.8	33.9	0.49	0.48	
2017	en-lv	HY-HNMT.5066			16.8	17.8	37.2	15.1	32.7	0.47	0.46	
2017	en-lv	KIT.5062			18.3	22.0	41.6	18.0	35.3	0.51	0.51	
2017	en-lv	C-3MA.5069			13.6	14.6	33.7	12.5	30.1	0.44	0.44	
2017	en-lv	LIUM-FNMT.5043			16.2	18.2	38.0	15.0	32.8	0.48	0.48	
2017	en-lv	online-B.0			17.9	20.9	40.4	17.0	34.4	0.50	0.50	
2017	en-lv	limsi-factored-norm.5041			16.6	20.5	39.7	16.8	34.2	0.49	0.49	
2017	en-lv	online-A.0			10.8	14.9	33.3	12.2	29.4	0.45	0.45	
2017	en-lv	tilde-nc-smt.5044			21.0	23.3	42.0	19.6	36.5	0.52	0.51	
2017	en-lv	QT21-System-Combination.5063			18.6	22.5	41.7	18.4	35.6	0.51	0.51	
2017	en-lv	jhu-pbmt.4969			14.3	16.7	36.0	13.7	31.3	0.47	0.47	
2017	en-lv	tilde-c-nmt-smt-hybrid.5049			20.1	23.0	42.6	18.7	36.2	0.52	0.52	
2017	en-lv	uedin-nmt.5016			16.9	20.9	40.1	17.2	34.6	0.49	0.49	
2017	en-lv	tilde-nc-nmt-smt-hybrid.5047			20.8	24.4	43.7	19.9	37.3	0.53	0.53	
2017	en-lv	usfd-consensus-qt21.5077			18.0	21.4	40.5	17.5	34.3	0.51	0.51	
2017	en-lv	usfd-consensus-kit.5078			17.5	20.9	40.0	17.0	33.9	0.51	0.51	
2017	en-fi	TALP-UPC.4939	-0.298	0.1174	11.5	11.9	29.6	9.8	26.3	0.45	0.45	
2017	en-fi	AaltoHnmtMultitask.4873	-0.004	0.2122	20.3	20.4	40.0	16.3	33.1	0.54	0.52	
2017	en-fi	online-B.0	0.378	0.2279	22.0	21.4	41.2	17.0	33.6	0.57	0.56	
2017	en-fi	HY-HNMT.4961	0.305	0.2159	20.7	20.4	40.1	16.3	33.0	0.56	0.55	
2017	en-fi	HY-SMT.4882	-0.115	0.1696	15.9	16.7	35.4	13.3	29.5	0.53	0.51	
2017	en-fi	online-A.0	-0.109	0.1433	13.7	15.2	33.5	11.9	28.0	0.51	0.49	
2017	en-fi	AaltoHnmtFlatcat.4798	-0.102	0.1775	17.1	16.8	35.8	13.6	29.8	0.51	0.51	
2017	en-fi	jhu-pbmt.4968	-0.204	0.1515	14.5	15.7	34.4	12.3	28.2	0.51	0.49	
2017	en-fi	online-G.0	0.09	0.1661	15.5	16.8	35.4	13.1	28.6	0.53	0.52	
2017	en-fi	jhu-nmt-lattice-rescore.4903	0.06	0.1676	16.0	16.4	35.6	12.9	28.9	0.52	0.51	
2017	en-fi	HY-AH.4797	-0.192	0.0990	9.3	12.2	29.4	9.3	24.1	0.47	0.47	
2017	en-fi	apertium-unconstrained.4769	-1.428	0.0115	1.0	2.0	10.8	1.7	11.0	0.22	0.22	
2017	en-de	SYSTRAN.4847	0.092	0.2835	26.7	27.7	51.4	22.6	44.2	0.56	0.55	
2017	en-de	TALP-UPC.4834	-0.391	0.2218	21.2	24.8	47.1	20.0	40.9	0.52	0.52	
2017	en-de	RWTH-nmt-ensemble.4921	-0.003	0.2719	26.0	29.3	51.8	23.8	44.5	0.56	0.56	
2017	en-de	uedin-nmt.4722	0.139	0.2922	28.3	31.6	53.6	25.8	45.7	0.58	0.58	
2017	en-de	xmu.4910	0.015	0.2748	26.7	29.4	52.2	24.0	44.8	0.56	0.56	
2017	en-de	PROMT-Rule-based.4735	-0.234	0.1715	16.6	21.9	43.2	17.0	37.1	0.49	0.51	
2017	en-ru	afrl-mitll-backtrans.4907	-0.194	0.2646	25.4	22.8	45.1	19.2	38.5	0.53	0.52	
2017	en-ru	jhu-pbmt.4986	-0.018	0.2611	25.3	25.0	46.4	20.6	39.3	0.55	0.55	
2017	en-ru	online-B.0	0.402	0.3301	32.1	31.5	52.0	26.3	44.3	0.60	0.60	
2017	en-ru	online-A.0	0.061	0.2532	23.8	23.5	45.1	19.4	38.5	0.53	0.54	
2017	en-ru	online-F.0	-0.568	0.1074	10.1	14.0	32.4	11.1	28.8	0.42	0.42	
2017	en-tr	LIUM-NMT.4953	-0.129	0.1932	16.0	19.1	36.3	15.5	32.2	0.49	0.47	
2017	en-tr	JAIST.4858	-0.602	0.1216	10.0	16.1	32.7	12.4	27.5	0.44	0.42	
2017	en-tr	jhu-nmt-lattice-rescore.4904	-0.554	0.1314	10.4	14.6	31.6	11.4	26.9	0.44	0.42	
2017	en-tr	jhu-pbmt.4970	-0.597	0.1286	9.8	14.5	31.5	11.3	26.5	0.44	0.42	
2017	en-tr	online-B.0	0.513	0.2346	19.9	25.4	43.0	20.4	37.3	0.55	0.54	
2017	en-tr	online-A.0	0.071	0.1677	11.6	17.4	34.5	13.9	30.0	0.49	0.47	
2017	en-tr	online-G.0	-0.032	0.1551	13.9	20.7	37.7	16.1	32.0	0.50	0.48	
2017	lv-en	C-3MA.5067	-0.187	0.1527	14.3	18.9	41.3	16.4	38.3	0.44	0.43	
2017	en-tr	uedin-nmt.4932	0.206	0.2173	16.4	19.0	37.2	15.3	32.6	0.51	0.50	
2017	lv-en	jhu-pbmt.4980	-0.137	0.1775	16.8	23.1	45.3	19.1	41.0	0.47	0.47	
2017	en-zh	CASICT-DCU-NMT.5157			30.7	43.3	60.4	40.4	56.4	0.28	0.27	
2017	en-zh	online-B.0	0.065	0.3207	32.2	43.6	62.1	39.2	56.4	0.29	0.29	
2017	lv-en	Hunter-MT.5092	-0.199	0.1715	16.2	22.4	44.9	18.7	40.8	0.46	0.46	
2017	lv-en	online-A.0	-0.039	0.1778	15.7	25.1	45.6	20.8	41.5	0.48	0.47	
2017	en-zh	jhu-nmt.5153	0.056	0.3105	31.3	42.6	60.5	38.3	54.5	0.28	0.28	
2017	lv-en	online-B.0	0.266	0.2333	22.0	29.6	50.6	24.6	44.8	0.52	0.51	
2017	en-ru	online-G.0	0.054	0.2856	27.1	27.0	48.3	22.5	41.2	0.57	0.56	
2017	en-zh	online-A.0	0.01	0.2911	29.2	46.4	59.5	40.7	54.3	0.26	0.26	
