Year	Langs	System	Human	BLEU_m	BLEU	MacroF1	MicroF1	MacroBLEUF	MicroBLEUF	CHRF1	MacroF3	MicroF3	CHRF3
2018	en-cs	CUNI-Transformer.5595	0.594	0.2690	26.2	30.9	48.5	25.6	42.4	0.54	31.5	48.9	0.54	
2018	en-cs	online-A.0	-0.115	0.1688	15.8	21.8	38.9	17.7	34.4	0.46	22.7	40.1	0.46	
2018	en-cs	online-B.0	0.101	0.2024	19.6	24.3	41.9	19.9	36.9	0.49	25.0	42.6	0.48	
2018	cs-en	uedin.5561	0.165	0.3363	32.6	41.1	59.6	34.5	52.1	0.58	42.1	59.9	0.57	
2018	en-cs	uedin.5630	0.384	0.2438	23.6	28.2	45.8	23.2	39.9	0.52	29.0	46.6	0.52	
2018	cs-en	online-B.0	0.115	0.3416	33.2	42.7	60.1	36.3	53.4	0.59	43.5	59.8	0.58	
2018	en-cs	online-G.0	-0.246	0.1641	15.2	21.6	38.3	17.6	33.8	0.46	22.7	40.1	0.45	
2018	cs-en	CUNI-Transformer.5560	0.298	0.3569	34.8	43.7	61.5	37.0	54.0	0.59	44.5	61.4	0.59	
2018	de-en	UCAM.5690	0.395	0.5003	48.7	55.6	72.3	47.9	62.5	0.70	56.2	72.0	0.69	
2018	cs-en	online-G.0	-0.183	0.2525	23.3	35.7	53.7	29.5	47.6	0.53	36.6	54.7	0.53	
2018	de-en	MLLP-UPV.5554	0.321	0.4743	46.0	52.3	70.4	44.9	60.6	0.68	53.0	70.2	0.67	
2018	cs-en	online-A.0	-0.023	0.2849	27.2	35.7	55.7	29.8	49.4	0.54	36.5	55.8	0.54	
2018	de-en	uedin.5766	0.261	0.4606	44.7	50.9	69.3	43.4	59.7	0.67	51.7	69.1	0.66	
2018	de-en	NJUNMT-private.5406	0.149	0.3984	38.4	46.1	65.1	38.8	56.3	0.63	46.7	65.0	0.62	
2018	de-en	RWTH.5636	0.413	0.5047	48.9	55.5	72.2	48.0	62.5	0.70	56.2	72.1	0.69	
